Orange results for level0
level0_2, 0, 0, 0, 256, 0, 256, 44745
level0_3, 174, 11, 95, 234, 148, 256, 44308
level0_4, 174, 11, 95, 234, 148, 256, 44274
level0_5, 174, 11, 95, 234, 148, 256, 44185
level0_6, 174, 11, 95, 234, 148, 256, 43776
level0_7, 172, 10, 95, 234, 148, 256, 43856
level0_8, 172, 10, 95, 234, 148, 256, 43309
level0_9, 172, 10, 95, 234, 148, 256, 44073
level0_10, 0, 0, 95, 234, 148, 256, 39696
level0_12, 0, 0, 95, 234, 148, 256, 50812
level0_13, 174, 5, 93, 167, 91, 197, 50745
level0_16, 170, 6, 90, 169, 83, 128, 120321
Green results for level0
level0_2, 28, 58, 70, 173, 153, 256, 44745
level0_3, 0, 0, 70, 173, 153, 256, 44308
level0_4, 0, 0, 70, 173, 153, 256, 44274
level0_5, 30, 62, 50, 192, 135, 256, 44185
level0_6, 30, 62, 50, 192, 135, 256, 43776
level0_7, 30, 62, 50, 192, 135, 256, 43856
level0_8, 30, 62, 50, 192, 135, 256, 43309
level0_9, 30, 62, 50, 192, 135, 256, 44073
level0_10, 30, 62, 50, 192, 135, 256, 39696
level0_12, 39, 70, 64, 154, 107, 236, 50812
level0_13, 39, 70, 64, 154, 107, 236, 50745
level0_16, 37, 49, 54, 96, 81, 120, 120321
Blue results for level0
level0_2, 0, 0, 0, 256, 0, 256, 44745
level0_3, 0, 0, 0, 256, 0, 256, 44308
level0_4, 0, 0, 0, 256, 0, 256, 44274
level0_5, 0, 0, 0, 256, 0, 256, 44185
level0_6, 102, 127, 60, 190, 160, 256, 43776
level0_7, 0, 0, 60, 190, 160, 256, 43856
level0_8, 0, 0, 60, 190, 160, 256, 43309
level0_9, 0, 0, 60, 190, 160, 256, 44073
level0_10, 105, 121, 70, 183, 132, 256, 39696
level0_12, 100, 119, 92, 164, 86, 256, 50812
level0_13, 100, 119, 92, 164, 86, 256, 50745
level0_16, 0, 0, 92, 164, 86, 256, 120321
