Image, Hmin, Hmax, Smin, Smax, Vmin, Vmax, Signature,
level3_16,146,15,59,155,30,113,72851,7316
level1_28,158,11,87,204,54,256,73885,8350
level2_25,172,17,115,200,58,256,74126,8591
level1_11,172,19,118,224,187,256,78455,12920
level2_26,172,17,115,200,58,256,78523,12988
level3_35,163,7,100,251,82,145,79425,13890
level1_14,146,19,126,212,93,256,80449,14914
level3_36,174,9,82,189,85,211,84573,19038
level1_3,167,20,120,179,78,226,150363,19293
level3_9,173,9,93,256,121,256,86017,20482
level3_39,175,11,108,256,126,256,89170,23635
level1_8,140,7,74,212,178,256,89312,23777
level3_37,175,6,143,256,150,256,90442,24907
level3_41,175,11,108,256,126,256,90744,25209
level3_18,131,5,57,130,48,96,92851,27316
level3_29,146,5,45,94,45,95,93516,27981
level2_6,148,10,52,191,183,256,94111,28576
level3_12,153,22,84,256,152,256,94252,28717
level2_7,172,17,115,200,58,256,94578,29043
level2_34,172,17,115,200,58,256,98946,33411
level1_5,159,7,93,214,148,256,101574,36039
level1_4,162,6,89,192,76,256,103832,38297
level0_10,0,0,95,234,148,256,39696,39696
level3_2,126,27,81,138,23,83,108184,42649
level0_8,172,10,95,234,148,256,43309,43309
level0_6,174,11,95,234,148,256,43776,43776
level0_7,172,10,95,234,148,256,43856,43856
level0_9,172,10,95,234,148,256,44073,44073
level0_5,174,11,95,234,148,256,44185,44185
level0_4,174,11,95,234,148,256,44274,44274
level0_3,174,11,95,234,148,256,44308,44308
level0_2,0,0,0,256,0,256,44745,44745
level0_13,174,5,93,167,91,197,50745,50745
level0_12,0,0,95,234,148,256,50812,50812
level0_16,170,6,90,169,83,128,120321,54786
level2_1,149,13,73,161,44,104,123358,57823
